sku_id,item_group_id,link,product_category,title,product_type,product_category_id,title_nouns,product_category_convert,product_type_convert,diff_rate,diff_rate_cat
780224,23588,https://www.habitat.co.uk/tiger-face-green-and-orange-terracotta-vase-780224?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxrttmqq&istBid=t,Home & Garden > Decor > Vases,Tiger Face Green And Orange Terracotta Vase,Super Savings > Accessories Super Savings > VasesAccessories > Home accessories > VasesAccessories > Home accessories > Decorative AccessoriesInspiration > HANDCRAFTED,602,tiger orange vase green face,garden vase decor,handcrafted vasesaccessory accessory decorative home accessoriesinspiration super saving accessory,53,47
268084,21792,https://www.habitat.co.uk/bayla-gold-led-metal-linear-ceiling-light-268084?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxmxplqp&istBid=t,Home & Garden > Lighting,Bayla Gold Led Metal Linear Ceiling Light,Lighting > Lighting > Ceiling Lights,594,ceiling light metal gold led,garden lighting,lighting light ceiling,53,67
1783841,25890,https://www.habitat.co.uk/murphy-grey-metal-and-glass-ceiling-light-1783841?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=iwrqrimim&istBid=t,Home & Garden > Lighting,Murphy Grey Metal And Glass Ceiling Light,Lighting > Lighting > Ceiling Lights,594,grey ceiling murphy light metal glas,garden lighting,lighting light ceiling,53,67
1783050,25920,https://www.habitat.co.uk/saoirse-clear-glass-ceiling-light-1783050?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=ixpiltmml&istBid=t,Home & Garden > Lighting,Saoirse Clear Glass Ceiling Light,Lighting > Lighting > Ceiling Lights,594,glas light clear ceiling,garden lighting,lighting light ceiling,53,67
1781216,23167,https://www.habitat.co.uk/voyage-grey-grey-300-thread-count-cotton-percale-single-fitted-sheet-1781216?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wliwwritl&istBid=t,Home & Garden > Linens & Bedding > Bedding > Bed Sheets,Voyage Grey Light Grey 300 Thread Count Cotton Percale King Fitted Sheet,Soft furnishings > Bedroom Linen > Bed sheets,2314,cotton grey sheet light thread king count voyage percale,linen sheet garden bedding bed,bedroom furnishing linen sheet bed,53,67
1781217,23168,https://www.habitat.co.uk/voyage-grey-grey-300-thread-count-cotton-percale-single-fitted-sheet-1781217?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wliwwritm&istBid=t,Home & Garden > Linens & Bedding > Bedding > Bed Sheets,Voyage Grey Light Grey 300 Thread Count Cotton Percale Super King Fitted Sheet,Soft furnishings > Bedroom Linen > Bed Sheets,2314,cotton grey sheet light thread king count super voyage percale,linen sheet garden bedding bed,bedroom furnishing linen sheet bed,53,67
1781458,24440,https://www.habitat.co.uk/lockie-brass-and-white-metal-ceiling-light-fitting-1781458?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wmttarirl&istBid=t,Home & Garden > Lighting,Lockie Brass And White Metal Ceiling Light Fitting,Lighting > Lighting > Ceiling Lights,594,bras ceiling white light metal fitting,garden lighting,lighting light ceiling,53,67
1781797,24542,https://www.habitat.co.uk/regency-mustard-velvet-cushion-45-x-45cm-1781797?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wmtawtaqt&istBid=t,Home & Garden > Decor > Chair & Sofa Cushions,Regency Mustard Yellow Velvet Cushion 45 X 45Cm,Soft furnishings > Rugs cushions & throws > Cushions,4453,x regency yellow cushion mustard velvet,sofa cushion garden decor chair,furnishing cushion throw cushion rug,53,45
296908,21475,https://www.habitat.co.uk/chester-stone-leather-footstool-oak-stained-feet-296908?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxlqaaaq&istBid=t,Furniture > Chairs > Folding Chairs & Stools,"Chester Stone Leather Footstool, Oak Stained Feet",Furniture > Living Room > Pouffes & footstools,3358,leather oak foot chester footstool stone,stool folding chair,room living footstool pouffe,53,45
1786960,28236,https://www.habitat.co.uk/albers-brass-and-white-flush-ceiling-light-1786960?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=ipiixxpmt&istBid=t,Home & Garden > Lighting,Albers Brass And White Flush Ceiling Light,Lighting > Lighting > Ceiling lights,594,bras ceiling white light alber flush,garden lighting,lighting light ceiling,53,67
1781451,24291,https://www.habitat.co.uk/boyd-white-glass-and-brass-metal-5-drop-cluster-light-1781451?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlpqtxqqp&istBid=t,Home & Garden > Lighting,Boyd White Glass And Brass Metal 5 Drop Cluster Light,Lighting > Lighting > Ceiling Lights,594,bras white drop cluster light metal glas,garden lighting,lighting light ceiling,53,67
1781239,23173,https://www.habitat.co.uk/voyage-grey-grey-300-thread-count-cotton-percale-superking-flat-sheet-1781239?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wliwwrixw&istBid=t,Home & Garden > Linens & Bedding > Bedding > Bed Sheets,Voyage Grey Light Grey 300 Thread Count Cotton Percale Super King Flat Sheet,Soft furnishings > Bedroom Linen > Bed Sheets,2314,cotton grey flat sheet light thread king count super voyage percale,linen sheet garden bedding bed,bedroom furnishing linen sheet bed,53,67
1781456,24778,https://www.habitat.co.uk/lockie-copper-and-black-metal-5-drop-ceiling-light-fitting-1781456?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wmwxlliql&istBid=t,Home & Garden > Lighting,Lockie Copper And Black Metal 5-Drop Ceiling Light Fitting,Lighting > Lighting > Ceiling Lights,594,ceiling black light copper metal fitting,garden lighting,lighting light ceiling,53,67
779492,25401,https://www.habitat.co.uk/marteau-pewter-large-metal-ceiling-light-779492?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=waxtrlmpp&istBid=t,Home & Garden > Lighting,Marteau Pewter Large Metal Ceiling Light,Lighting > Lighting > Ceiling Lights,594,large ceiling light metal pewter,garden lighting,lighting light ceiling,53,67
405863,18744,https://www.habitat.co.uk/astrid-405863?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxlqaqrp&istBid=t,Home & Garden > Lighting,Astrid Small White Metal And Glass Led Ceiling Light,Lighting > Lighting > Ceiling Lights,594,ceiling white light metal glas led small,garden lighting,lighting light ceiling,53,67
307261,13338,https://www.habitat.co.uk/bulle-clear-glass-ceiling-light-307261?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wliwxrpmm&istBid=t,Home & Garden > Lighting,Bulle Clear Glass Ceiling Light,Lighting > Lighting > Ceiling Lights,594,glas light clear ceiling,garden lighting,lighting light ceiling,53,67
1783858,26024,https://www.habitat.co.uk/aurora-brass-and-white-ceiling-light-1783858?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=ixpiltmqx&istBid=t,Home & Garden > Lighting,Aurora Brass And White Ceiling Light,Lighting > Lighting > Ceiling Lights,594,bras ceiling white light aurora,garden lighting,lighting light ceiling,53,67
